year,month,day,temp
2013,10,2,23.2
2013,10,3,19.5
2013,10,4,18.6
2013,10,5,19.5
2013,10,6,23.4
2013,10,7,24.2
2013,10,8,22.8
2013,10,9,25.4
2013,10,10,24.8
2013,10,11,23.9
2013,10,12,18.4
2013,10,13,16.5
2013,10,14,17.9
2013,10,15,17.2
2013,10,16,16.4
2013,10,17,13.4
2013,10,18,14.6
2013,10,19,16.2
2013,10,20,16
2013,10,21,17.9
2013,10,22,18.3
2013,10,23,17.4
2013,10,24,18.1
2013,10,25,17.3
2013,10,26,14.8
2013,10,27,12.5
2013,10,28,12.3
2013,10,29,14.7
2013,10,30,14.4
2013,10,31,13
2013,11,1,13
2013,11,2,13
2013,11,3,15
2013,11,4,14.6
2013,11,5,12.2
2013,11,6,13
2013,11,7,14.9
2013,11,8,12.6
2013,11,9,12.8
2013,11,10,14.6
2013,11,11,9.8
2013,11,12,7.1
2013,11,13,7.6
2013,11,14,8.9
2013,11,15,10.8
2013,11,16,10
2013,11,17,10.4
2013,11,18,7.4
2013,11,19,6.4
2013,11,20,5.8
2013,11,21,6.3
2013,11,22,7.3
2013,11,23,6.9
2013,11,24,7.7
2013,11,25,12.8
2013,11,26,7.3
2013,11,27,6.3
2013,11,28,5.7
2013,11,29,2.9
2013,11,30,3.8
2013,12,1,5.5
2013,12,2,5.8
2013,12,3,6.1
2013,12,4,5.6
2013,12,5,6.4
2013,12,6,6.8
2013,12,7,6
2013,12,8,4.9
2013,12,9,6
2013,12,10,9
2013,12,11,6.6
2013,12,12,3.4
2013,12,13,2.7
2013,12,14,3.1
2013,12,15,5.2
2013,12,16,5.7
2013,12,17,6.5
2013,12,18,5.8
2013,12,19,6.9
2013,12,20,3.5
2013,12,21,3.7
2013,12,22,3.4
2013,12,23,3.3
2013,12,24,4.6
2013,12,25,4.2
2013,12,26,4
2013,12,27,4.3
2013,12,28,0.8
2013,12,29,0.7
2013,12,30,1.8
2013,12,31,3.8
2014,1,1,5.2
2014,1,2,3.2
2014,1,3,3.8
2014,1,4,3.1
2014,1,5,2.3
2014,1,6,1.2
2014,1,7,2.6
2014,1,8,4.9
2014,1,9,4.1
2014,1,10,0.8
2014,1,11,0.8
2014,1,12,0.8
2014,1,13,1
2014,1,14,0.8
2014,1,15,2.6
2014,1,16,3.3
2014,1,17,3
2014,1,18,3
2014,1,19,0.1
2014,1,20,1.5
2014,1,21,2.9
2014,1,22,1.6
2014,1,23,2.3
2014,1,24,2.6
2014,1,25,5.9
2014,1,26,5.2
2014,1,27,2
2014,1,28,2.8
2014,1,29,4.2
2014,1,30,6
2014,1,31,7
2014,2,1,5.4
2014,2,2,9.7
2014,2,3,9.8
2014,2,4,2.7
2014,2,5,0
2014,2,6,0.2
2014,2,7,2
2014,2,8,2.1
2014,2,9,2.9
2014,2,10,2
2014,2,11,1.4
2014,2,12,3.6
2014,2,13,2.8
2014,2,14,2.3
2014,2,15,4.7
2014,2,16,4.3
2014,2,17,2.5
2014,2,18,2.4
2014,2,19,2.8
2014,2,20,3.1
2014,2,21,1.1
2014,2,22,2.5
2014,2,23,2.4
2014,2,24,3
2014,2,25,5.5
2014,2,26,7.2
2014,2,27,10.1
2014,2,28,10.4
2014,3,1,7.4
2014,3,2,7.2
2014,3,3,4.5
2014,3,4,4.7
2014,3,5,6.5
2014,3,6,2.1
2014,3,7,1.6
2014,3,8,3.1
2014,3,9,4.3
2014,3,10,2.1
2014,3,11,3.8
2014,3,12,7.5
2014,3,13,9.9
2014,3,14,4.6
2014,3,15,4.2
2014,3,16,8.4
2014,3,17,10.8
2014,3,18,10.1
2014,3,19,9.9
2014,3,20,7.7
2014,3,21,4.6
2014,3,22,5.4
2014,3,23,7.1
2014,3,24,9.3
2014,3,25,12.1
2014,3,26,13
2014,3,27,12.6
2014,3,28,11.9
2014,3,29,14.1
2014,3,30,15.3
2014,3,31,11.8
2014,4,1,10.1
2014,4,2,13
2014,4,3,15.4
2014,4,4,9.5
2014,4,5,5.8
2014,4,6,5.7
2014,4,7,6.9
2014,4,8,11.4
2014,4,9,13.5
2014,4,10,11.6
2014,4,11,9.4
2014,4,12,10.3
2014,4,13,10.5
2014,4,14,12.1
2014,4,15,11
2014,4,16,13.7
2014,4,17,15.6
2014,4,18,14.7
2014,4,19,11.9
2014,4,20,11.7
2014,4,21,13.8
2014,4,22,13.4
2014,4,23,13.2
2014,4,24,13.4
2014,4,25,13.8
2014,4,26,16
2014,4,27,16.6
2014,4,28,14.9
2014,4,29,15.2
2014,4,30,17.3
2014,5,1,17
2014,5,2,17.7
2014,5,3,16.6
2014,5,4,15.1
2014,5,5,15.1
2014,5,6,13.8
2014,5,7,14.5
2014,5,8,16.4
2014,5,9,17.1
2014,5,10,15.4
2014,5,11,18.3
2014,5,12,17.6
2014,5,13,19.7
2014,5,14,17.4
2014,5,15,15.8
2014,5,16,17.9
2014,5,17,16.8
2014,5,18,18.2
2014,5,19,18.8
2014,5,20,18.1
2014,5,21,16.8
2014,5,22,17
2014,5,23,16.8
2014,5,24,18.5
2014,5,25,21.2
2014,5,26,18.6
2014,5,27,20
2014,5,28,20.3
2014,5,29,21.8
2014,5,30,23.3
2014,5,31,23.6
2014,6,1,24.2
2014,6,2,23
2014,6,3,21.2
2014,6,4,20.4
2014,6,5,20.3
2014,6,6,21.7
2014,6,7,21.7
2014,6,8,23.1
2014,6,9,24.2
2014,6,10,23.6
2014,6,11,22.9
2014,6,12,20.3
2014,6,13,19.5
2014,6,14,21.1
2014,6,15,22.3
2014,6,16,22.6
